mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_gray,std_gray,entropy,mean_h,mean_s,mean_v,std_h,std_s,std_v,Soil Type
0.5817756204044118,0.36239276960784317,0.22505074295343136,0.09105151402319712,0.06899561330639882,0.050208415748340764,0.4123391544117647,0.07305037248482157,6.20068694635142,0.0617254518995098,0.6148360906862744,0.5817756204044118,0.005076580970943957,0.03653623270545862,0.09105151402319712,Alluvial
0.6346028645833333,0.41023188572303926,0.26706686580882355,0.0907723229934325,0.07585525002561137,0.06306213891688064,0.46095473345588234,0.07849363396561893,6.25894692378614,0.06291073069852941,0.5826889935661763,0.6346028645833333,0.014863040594460994,0.04749394810968962,0.0907723229934325,Alluvial
0.7662233838848039,0.5700559129901961,0.42485830269607844,0.07557921205960165,0.0987534592220464,0.08858449868793601,0.6121591605392156,0.07856516618003317,6.214499821245868,0.07319527420343136,0.44367915134803926,0.7662233838848039,0.020219916379559385,0.10079412484532975,0.07557921205960165,Alluvial
0.7124980851715685,0.5489736519607842,0.32163085937499997,0.06781764502057612,0.07536519199084019,0.050988197007912135,0.5719544653799019,0.06993880304597855,6.141701929329828,0.09455614276960783,0.5489334405637254,0.7124980851715685,0.007038515241838017,0.03561520055146491,0.06781764502057612,Alluvial
0.6085583256740195,0.4937777650122549,0.36341528799019607,0.060530308127714975,0.06100560579434909,0.051326843625645574,0.5133214613970589,0.05972981016124481,5.912365204211955,0.08622663909313724,0.40337584252450986,0.6085583256740195,0.00480268249468572,0.028403275310443024,0.060530308127714975,Alluvial
0.680291628370098,0.5366421568627451,0.40722847732843137,0.19928014928998497,0.22176343068083113,0.23495112432603407,0.5648207720588236,0.2159180747047988,7.455706487677343,0.07724130667892157,0.44706361060049016,0.6802925857843137,0.011288120309944727,0.17132982980899733,0.19928165701615677,Alluvial
0.7466145833333334,0.5811533011642156,0.440799249387255,0.02588987172122747,0.024650233199112734,0.026949508879538887,0.6148226868872548,0.024679510984988433,4.6050857466704445,0.07469458486519606,0.4081322763480393,0.7466145833333334,0.004929421400480017,0.02019659648792169,0.02588987172122747,Alluvial
0.5745069316789215,0.43026673560049017,0.3600681678921569,0.21466604321143026,0.1966414949921287,0.16582491582534445,0.4653846890318627,0.19798727413152706,7.579908780432886,0.05236672794117647,0.4086492800245098,0.5745069316789215,0.057069241264337926,0.14078731598825786,0.21466604321143026,Arid
0.6757343367034314,0.6380189185049019,0.6184196920955882,0.26334597877307747,0.2729476497400843,0.2754942097180849,0.6470636106004901,0.2692865662763751,7.235700433280526,0.1937088311887255,0.11069814644607842,0.6783653109681372,0.29603316622566084,0.11087193792641083,0.26181121585653316,Arid
0.7854798560049021,0.5772997089460784,0.3288133808210784,0.13300966974270284,0.10630307904207574,0.0695844737919798,0.6112074908088234,0.10723167547745614,6.456637847521062,0.08827742034313724,0.5737773820465686,0.7854808134191178,0.034441917808291034,0.08227642927388226,0.13300436853398648,Arid
0.6591145833333334,0.5742886412377451,0.42856924019607845,0.21348131934071718,0.17905020905606014,0.1437283581977491,0.5830432368259805,0.1828542776819286,6.75439684811479,0.16143822763480392,0.35644818474264706,0.6625134037990197,0.19512312388661388,0.10342700240654391,0.21037426362867243,Arid
0.7552992876838236,0.653756893382353,0.48140031403186273,0.1257224824472375,0.16603645150558052,0.2869274907622951,0.6644722732843137,0.15863391280115813,7.224282267284789,0.22934187346813725,0.4493853400735293,0.7851916743259805,0.21735415777554382,0.20993346690842354,0.1449661628180033,Arid
0.7075281479779413,0.5612065333946078,0.44378733915441176,0.16086562169795576,0.1407375521336101,0.12434771359647889,0.5915747549019608,0.14397506835558205,6.795602216195405,0.07248295802696078,0.3771168428308823,0.7075511259191177,0.018061625827277737,0.0932483245795809,0.16078692077616996,Arid
0.7045860140931373,0.5599685968137255,0.4484547334558823,0.1319086134638535,0.11907472159470144,0.10920505028811575,0.5905263863357844,0.12076963301814436,6.7698715503119935,0.07284103094362743,0.3668571920955882,0.7046137791053921,0.0456933386458455,0.07886641970690086,0.13189022437371967,Arid
0.7866115196078433,0.6496333103553922,0.5766773897058824,0.13041622317135163,0.20893924726535132,0.2698454320879533,0.6823807061887255,0.1874810239127779,6.996566162034874,0.20997625612745097,0.30406422334558814,0.7922746246936275,0.3085557390750645,0.24472456671216566,0.1310641756004585,Arid
0.9081542968750002,0.7239248238357843,0.5083802466299019,0.047370317044533136,0.049673123730941966,0.05071172473910231,0.7543974034926471,0.047635648667941434,5.490570944147162,0.0878475413602941,0.438556027879902,0.9081542968750002,0.003817728892021442,0.043258983795201475,0.047370317044533136,Arid
0.7328239889705883,0.514545036764706,0.3420802696078431,0.11846435535143675,0.10917596181931938,0.09094157966328478,0.5601332720588235,0.10797057402969344,6.758186796213014,0.07108130361519607,0.5353333716299019,0.7328239889705883,0.0069091589080048105,0.07293755852872098,0.11846435535143675,Arid
0.6076267616421569,0.5090140548406863,0.5171989889705884,0.2302853704914623,0.19436296562227778,0.22824895978758436,0.539455997242647,0.1869209088440245,6.606200175987603,0.4201765471813725,0.32353228400735295,0.680072380514706,0.3163461166277354,0.15130993007997948,0.237561667765145,Arid
0.7103056066176472,0.5770660998774508,0.33150754442401964,0.22966296857436874,0.21333499635797015,0.15022167028585665,0.5888700597426471,0.2052618128764838,7.014651763064265,0.11174268535539215,0.5652765012254901,0.7221459482230392,0.04609154285721788,0.1375106663390196,0.22775841809862496,Arid
0.7580853630514708,0.6828306908700981,0.43739181219362744,0.2329246090115121,0.09135135953545998,0.16040790131181853,0.6773475796568628,0.13577990543330018,6.518323800332308,0.12696844362745097,0.4757889093137255,0.8074075137867649,0.06916896128449337,0.13938694775297356,0.1509890018850346,Arid
